mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.0978,34.5397627417,-0.499001942277,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,38.12312,59.1992530756,-0.497427363858,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,19.9307996485,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.9307996485,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.9307996485,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,143.51929,71.1335676626,-0.224607594479,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,16.1591,51.2137521968,-0.30999662912,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.9307996485,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,12.0978,47.7811950791,-0.255902659786,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,277.57695,77.7789982425,-0.284650988358,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.9307996485,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,7.01856,38.4830843585,1.66102678864,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,29.36894,56.9529876977,-0.131724329482,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,40.36385,59.8253514938,-0.455103147672,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.1937,49.7363796134,-0.258314309286,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.15788,27.7460456942,-0.515644449415,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.9307996485,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,532.50415,84.4134446397,-0.845463947258,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,7.57329,40.3778558875,-0.385451042026,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3920.99115,96.803602812,0.37008641447,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.9307996485,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,118.78565,69.4090509666,1.06149110463,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.07475,27.0210896309,-0.173415382867,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,246.55829,76.4883567663,0.508263504615,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.9307996485,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,786.02442,87.9119068541,0.959746091121,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,30.2065026362,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,5100.54241,97.6164323374,2.90985312505,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,114.2063,69.0575571178,0.0608941625617,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,20.06518,53.4325571178,-1.01212125613,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,509.33747,84.0180140598,3.04059525793,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,7.82162,40.9325571178,0.163007554495,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,168.92946,72.7427504394,-0.203673995565,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,19.9307996485,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,7.96614,41.3170035149,2.4739668072,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,5.59305,31.6124780316,-0.0645487088924,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.9307996485,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,7.44286,39.9000439367,-0.424033070866,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,12133.78562,99.0224077329,0.495894779207,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,5.75868,32.6669595782,-0.0884245414875,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,21.4685852373,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,21.2269332162,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,14.47007,49.9615553603,-0.455118808752,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,39.47407,59.5836994728,-0.158803433892,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,90.52951,66.9870386643,-0.046233097539,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,2393.96512,94.9527680141,-0.397974023847,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,25.0823813708,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,1111.32883,90.5700790861,9.24054043955,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,181.63508,73.4182776801,2.82556767257,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,9.61326,44.4639718805,-0.36903202597,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,127.82687,70.1394991213,-0.0290109731254,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,19.9307996485,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,25.64651,55.7666959578,-0.11933995888,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,87.29873,66.6520210896,-0.610086860058,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,23.8960896309,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,521.76718,84.2431898067,0.457864196079,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,8.72493,42.8438049209,0.0964099742298,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,19.9307996485,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,6.37488,35.9457381371,-0.173488452137,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,66.98148,64.1311511424,-0.67078576373,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,75.96045,65.2844903339,-0.511587505615,NA,NA,NA
