mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2483.27668,97.0232864675,1.1080178128,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,43.31154,64.4387082601,1.83647509865,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1162.69656,93.920254833,-0.644930704854,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1010.21882,93.0525043937,-0.314399129443,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.7486818981,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,7738.81123,99.1542179262,2.61691819942,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,547.16002,88.7027680141,-0.888012432363,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,11.00637,51.2906414763,-0.700578642472,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,19.82684,57.8317223199,-0.112349127435,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68382,23.500659051,-0.348664473893,NA,NA,NA
ENSMUSG00000083012,Fam220a,25.71146,60.0285588752,-0.370342343152,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,191.94396,78.3117311072,-0.763355356734,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.7486818981,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.73691,54.1025922671,-0.767907764626,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.7486818981,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,6.81445,42.7943760984,-0.106066076191,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,314.99492,83.4248681898,-0.69380274326,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,65.71745,68.0689806678,-0.0259665801678,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.7486818981,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.64711,22.4846221441,-0.327825929628,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.7486818981,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.7486818981,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,41.7893233743,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,478.46087,87.4670474517,0.0382578212258,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,273.53216,81.9035588752,0.350328406718,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.7486818981,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,8.21683,46.6608084359,-0.108721539645,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.7486818981,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,916.13588,92.3440246046,1.2887242446,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.7486818981,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.7486818981,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.7486818981,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,7.48956,45.0351493849,-0.3373046635,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.85902,27.1474077329,-0.128639651313,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.7486818981,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,17.56301,56.744288225,-0.170073181475,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,14839.9752,99.703427065,-0.417770351203,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,23.5391036907,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.84714,26.894771529,-0.144303039305,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.7486818981,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,566.6242,88.9718804921,-0.53645369864,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.7486818981,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,39.73161,63.5764499121,-1.46191388993,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,83.25341,70.0845782074,-0.87869998635,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,6.7075,42.3385325132,-0.13285147584,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,24.13559,59.5342706503,-0.404166244344,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,317.43939,83.5292179262,0.0575537404547,ENSG00000137574,73,1
