mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1294.29214,92.4868189807,-0.454044123319,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,29.0092267135,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4438.29705,97.2264938489,0.328827767942,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,888.45934,89.9439806678,-0.476495606851,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.9417838313,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4392.73954,97.1935413005,0.617870257264,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,8564.77551,98.5171353251,1.21327618256,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,167.32503,72.242970123,0.39651380263,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,21.00008,50.2196836555,-0.110174819818,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,24.6155536028,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,66.34264,61.4125659051,-0.261587383766,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,620.15346,86.8903778559,0.134050687608,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,19.9417838313,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,21.39313,50.4448594025,-0.410249174921,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.24043,31.4586994728,-0.109001031698,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.9417838313,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,875.68871,89.8066783831,0.657832831513,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.01244,35.2482425308,-0.465264585864,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.65484,22.934973638,-0.116179776236,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.9417838313,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.9417838313,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.9417838313,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.56463,37.10456942,-0.473712421932,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,497.90395,84.7264938489,0.0859545250044,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,122.37347,68.4918717047,-0.736008936049,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63687,20.7051845343,-0.109716362958,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,17.05678,48.2205623902,-0.104279008375,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,19.9417838313,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,232.41961,76.158831283,-0.470376001464,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.6376,20.9962653779,-0.270526670511,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,19.9417838313,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.9417838313,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,152.13125,71.111599297,-0.237980310413,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.9417838313,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.9417838313,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.43263,47.3033831283,-0.32895799099,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,22218.12027,99.5276801406,0.563019891203,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,24.2860281195,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,19.9417838313,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,19.9417838313,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,539.21424,85.5942442882,-0.593206997698,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,210.11089,74.9725395431,0.196764925065,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,139.22354,69.9967047452,0.157745394422,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,7227.25459,98.2535149385,-0.0637893702851,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,13.51549,46.0182337434,-0.131433746806,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,93.60807,65.2515377856,0.430247690627,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,151.02747,71.0237258348,-0.830570571044,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,165.56221,72.1001757469,-0.829387368489,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,5.21882,31.3049209139,-0.534743774398,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.64622,22.3253514938,-0.130382916482,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,41497.8741,99.9121265378,0.219015809575,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,112.95291,67.5417398946,0.445578366913,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63686,20.6996924429,-0.374295818571,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,7.00318,38.1700351494,-0.233246413149,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,270.93956,78.1524604569,-0.710908977125,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,6.21812,35.973198594,-0.153824769381,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,351.4711,81.0138400703,-0.227340177457,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,7.08436,38.3897188049,-0.372342993946,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,19.9417838313,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.73362,25.6920035149,-0.170855293726,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,124.00852,68.651142355,-0.513739486304,ENSG00000122884,94,1
